disputer, disputant, disputé, je dispute,tu disputes,il dispute,nous disputons,vous disputez,ils disputent, j'ai disputé,tu as disputé,il a disputé,nous avons disputé,vous avez disputé,ils ont disputé, je disputais,tu disputais,il disputait,nous disputions,vous disputiez,ils disputaient, je disputai,tu disputas,il disputa,nous disputâmes,vous disputâtes,ils disputèrent, je disputerai,tu disputeras,il disputera,nous disputerons,vous disputerez,ils disputeront, je disputerais,tu disputerais,il disputerait,nous disputerions,vous disputeriez,ils disputeraient, que je dispute,que tu disputes,qu'il dispute,que nous disputions,que vous disputiez,qu'ils disputent, que je disputasse,que tu disputasses,qu'il disputât,que nous disputassions,que vous disputassiez,qu'ils disputassent, (tu) dispute,(nous) disputons,(vous) disputez
soulever, soulevant, soulevé, je soulève,tu soulèves,il soulève,nous soulevons,vous soulevez,ils soulèvent, j'ai soulevé,tu as soulevé,il a soulevé,nous avons soulevé,vous avez soulevé,ils ont soulevé, je soulevais,tu soulevais,il soulevait,nous soulevions,vous souleviez,ils soulevaient, je soulevai,tu soulevas,il souleva,nous soulevâmes,vous soulevâtes,ils soulevèrent, je soulèverai,tu soulèveras,il soulèvera,nous soulèverons,vous soulèverez,ils soulèveront, je soulèverais,tu soulèverais,il soulèverait,nous soulèverions,vous soulèveriez,ils soulèveraient, que je soulève,que tu soulèves,qu'il soulève,que nous soulevions,que vous souleviez,qu'ils soulèvent, que je soulevasse,que tu soulevasses,qu'il soulevât,que nous soulevassions,que vous soulevassiez,qu'ils soulevassent, (tu) soulève,(nous) soulevons,(vous) soulevez
écouter, écoutant, écouté, j'écoute,tu écoutes,il écoute,nous écoutons,vous écoutez,ils écoutent, j'ai écouté,tu as écouté,il a écouté,nous avons écouté,vous avez écouté,ils ont écouté, j'écoutais,tu écoutais,il écoutait,nous écoutions,vous écoutiez,ils écoutaient, j'écoutai,tu écoutas,il écouta,nous écoutâmes,vous écoutâtes,ils écoutèrent, j'écouterai,tu écouteras,il écoutera,nous écouterons,vous écouterez,ils écouteront, j'écouterais,tu écouterais,il écouterait,nous écouterions,vous écouteriez,ils écouteraient, que j'écoute,que tu écoutes,qu'il écoute,que nous écoutions,que vous écoutiez,qu'ils écoutent, que j'écoutasse,que tu écoutasses,qu'il écoutât,que nous écoutassions,que vous écoutassiez,qu'ils écoutassent, (tu) écoute,(nous) écoutons,(vous) écoutez
chercher, cherchant, cherché, je cherche,tu cherches,il cherche,nous cherchons,vous cherchez,ils cherchent, j'ai cherché,tu as cherché,il a cherché,nous avons cherché,vous avez cherché,ils ont cherché, je cherchais,tu cherchais,il cherchait,nous cherchions,vous cherchiez,ils cherchaient, je cherchai,tu cherchas,il chercha,nous cherchâmes,vous cherchâtes,ils cherchèrent, je chercherai,tu chercheras,il cherchera,nous chercherons,vous chercherez,ils chercheront, je chercherais,tu chercherais,il chercherait,nous chercherions,vous chercheriez,ils chercheraient, que je cherche,que tu cherches,qu'il cherche,que nous cherchions,que vous cherchiez,qu'ils cherchent, que je cherchasse,que tu cherchasses,qu'il cherchât,que nous cherchassions,que vous cherchassiez,qu'ils cherchassent, (tu) cherche,(nous) cherchons,(vous) cherchez
aimer, aimant, aimé, j'aime,tu aimes,il aime,nous aimons,vous aimez,ils aiment, j'ai aimé,tu as aimé,il a aimé,nous avons aimé,vous avez aimé,ils ont aimé, j'aimais,tu aimais,il aimait,nous aimions,vous aimiez,ils aimaient, j'aimai,tu aimas,il aima,nous aimâmes,vous aimâtes,ils aimèrent, j'aimerai,tu aimeras,il aimera,nous aimerons,vous aimerez,ils aimeront, j'aimerais,tu aimerais,il aimerait,nous aimerions,vous aimeriez,ils aimeraient, que j'aime,que tu aimes,qu'il aime,que nous aimions,que vous aimiez,qu'ils aiment, que j'aimasse,que tu aimasses,qu'il aimât,que nous aimassions,que vous aimassiez,qu'ils aimassent, (tu) aime,(nous) aimons,(vous) aimez
fabriquer, fabriquant, fabriqué, je fabrique,tu fabriques,il fabrique,nous fabriquons,vous fabriquez,ils fabriquent, j'ai fabriqué,tu as fabriqué,il a fabriqué,nous avons fabriqué,vous avez fabriqué,ils ont fabriqué, je fabriquais,tu fabriquais,il fabriquait,nous fabriquions,vous fabriquiez,ils fabriquaient, je fabriquai,tu fabriquas,il fabriqua,nous fabriquâmes,vous fabriquâtes,ils fabriquèrent, je fabriquerai,tu fabriqueras,il fabriquera,nous fabriquerons,vous fabriquerez,ils fabriqueront, je fabriquerais,tu fabriquerais,il fabriquerait,nous fabriquerions,vous fabriqueriez,ils fabriqueraient, que je fabrique,que tu fabriques,qu'il fabrique,que nous fabriquions,que vous fabriquiez,qu'ils fabriquent, que je fabriquasse,que tu fabriquasses,qu'il fabriquât,que nous fabriquassions,que vous fabriquassiez,qu'ils fabriquassent, (tu) fabrique,(nous) fabriquons,(vous) fabriquez
avoir, ayant, eu, j'ai,tu as,il a,nous avons,vous avez,ils ont, j'ai eu,tu as eu,il a eu,nous avons eu,vous avez eu,ils ont eu, j'avais,tu avais,il avait,nous avions,vous aviez,ils avaient, j'eus,tu eus,il eut,nous eûmes,vous eûtes,ils eurent, j'aurai,tu auras,il aura,nous aurons,vous aurez,ils auront, j'aurais,tu aurais,il aurait,nous aurions,vous auriez,ils auraient, que j'aie,que tu aies,qu'il ait,que nous ayons,que vous ayez,qu'ils aient, que j'eusse,que tu eusses,qu'il eût,que nous eussions,que vous eussiez,qu'ils eussent, (tu) aie,(nous) ayons,(vous) ayez
mélanger, mélangeant, mélangé, je mélange,tu mélanges,il mélange,nous mélangeons,vous mélangez,ils mélangent, j'ai mélangé,tu as mélangé,il a mélangé,nous avons mélangé,vous avez mélangé,ils ont mélangé, je mélangeais,tu mélangeais,il mélangeait,nous mélangions,vous mélangiez,ils mélangeaient, je mélangeai,tu mélangeas,il mélangea,nous mélangeâmes,vous mélangeâtes,ils mélangèrent, je mélangerai,tu mélangeras,il mélangera,nous mélangerons,vous mélangerez,ils mélangeront, je mélangerais,tu mélangerais,il mélangerait,nous mélangerions,vous mélangeriez,ils mélangeraient, que je mélange,que tu mélanges,qu'il mélange,que nous mélangions,que vous mélangiez,qu'ils mélangent, que je mélangeasse,que tu mélangeasses,qu'il mélangeât,que nous mélangeassions,que vous mélangeassiez,qu'ils mélangeassent, (tu) mélange,(nous) mélangeons,(vous) mélangez
peindre, peignant, peint, je peins,tu peins,il peint,nous peignons,vous peignez,ils peignent, j'ai peint,tu as peint,il a peint,nous avons peint,vous avez peint,ils ont peint, je peignais,tu peignais,il peignait,nous peignions,vous peigniez,ils peignaient, je peignis,tu peignis,il peignit,nous peignîmes,vous peignîtes,ils peignirent, je peindrai,tu peindras,il peindra,nous peindrons,vous peindrez,ils peindront, je peindrais,tu peindrais,il peindrait,nous peindrions,vous peindriez,ils peindraient, que je peigne,que tu peignes,qu'il peigne,que nous peignions,que vous peigniez,qu'ils peignent, que je peignisse,que tu peignisses,qu'il peignît,que nous peignissions,que vous peignissiez,qu'ils peignissent, (tu) peins,(nous) peignons,(vous) peignez
planter, plantant, planté, je plante,tu plantes,il plante,nous plantons,vous plantez,ils plantent, j'ai planté,tu as planté,il a planté,nous avons planté,vous avez planté,ils ont planté, je plantais,tu plantais,il plantait,nous plantions,vous plantiez,ils plantaient, je plantai,tu plantas,il planta,nous plantâmes,vous plantâtes,ils plantèrent, je planterai,tu planteras,il plantera,nous planterons,vous planterez,ils planteront, je planterais,tu planterais,il planterait,nous planterions,vous planteriez,ils planteraient, que je plante,que tu plantes,qu'il plante,que nous plantions,que vous plantiez,qu'ils plantent, que je plantasse,que tu plantasses,qu'il plantât,que nous plantassions,que vous plantassiez,qu'ils plantassent, (tu) plante,(nous) plantons,(vous) plantez
jouer, jouant, joué, je joue,tu joues,il joue,nous jouons,vous jouez,ils jouent, j'ai joué,tu as joué,il a joué,nous avons joué,vous avez joué,ils ont joué, je jouais,tu jouais,il jouait,nous jouions,vous jouiez,ils jouaient, je jouai,tu jouas,il joua,nous jouâmes,vous jouâtes,ils jouèrent, je jouerai,tu joueras,il jouera,nous jouerons,vous jouerez,ils joueront, je jouerais,tu jouerais,il jouerait,nous jouerions,vous joueriez,ils joueraient, que je joue,que tu joues,qu'il joue,que nous jouions,que vous jouiez,qu'ils jouent, que je jouasse,que tu jouasses,qu'il jouât,que nous jouassions,que vous jouassiez,qu'ils jouassent, (tu) joue,(nous) jouons,(vous) jouez
prier, priant, prié, je prie,tu pries,il prie,nous prions,vous priez,ils prient, j'ai prié,tu as prié,il a prié,nous avons prié,vous avez prié,ils ont prié, je priais,tu priais,il priait,nous priions,vous priiez,ils priaient, je priai,tu prias,il pria,nous priâmes,vous priâtes,ils prièrent, je prierai,tu prieras,il priera,nous prierons,vous prierez,ils prieront, je prierais,tu prierais,il prierait,nous prierions,vous prieriez,ils prieraient, que je prie,que tu pries,qu'il prie,que nous priions,que vous priiez,qu'ils prient, que je priasse,que tu priasses,qu'il priât,que nous priassions,que vous priassiez,qu'ils priassent, (tu) prie,(nous) prions,(vous) priez
tirer, tirant, tiré, je tire,tu tires,il tire,nous tirons,vous tirez,ils tirent, j'ai tiré,tu as tiré,il a tiré,nous avons tiré,vous avez tiré,ils ont tiré, je tirais,tu tirais,il tirait,nous tirions,vous tiriez,ils tiraient, je tirai,tu tiras,il tira,nous tirâmes,vous tirâtes,ils tirèrent, je tirerai,tu tireras,il tirera,nous tirerons,vous tirerez,ils tireront, je tirerais,tu tirerais,il tirerait,nous tirerions,vous tireriez,ils tireraient, que je tire,que tu tires,qu'il tire,que nous tirions,que vous tiriez,qu'ils tirent, que je tirasse,que tu tirasses,qu'il tirât,que nous tirassions,que vous tirassiez,qu'ils tirassent, (tu) tire,(nous) tirons,(vous) tirez
pousser, poussant, poussé, je pousse,tu pousses,il pousse,nous poussons,vous poussez,ils poussent, j'ai poussé,tu as poussé,il a poussé,nous avons poussé,vous avez poussé,ils ont poussé, je poussais,tu poussais,il poussait,nous poussions,vous poussiez,ils poussaient, je poussai,tu poussas,il poussa,nous poussâmes,vous poussâtes,ils poussèrent, je pousserai,tu pousseras,il poussera,nous pousserons,vous pousserez,ils pousseront, je pousserais,tu pousserais,il pousserait,nous pousserions,vous pousseriez,ils pousseraient, que je pousse,que tu pousses,qu'il pousse,que nous poussions,que vous poussiez,qu'ils poussent, que je poussasse,que tu poussasses,qu'il poussât,que nous poussassions,que vous poussassiez,qu'ils poussassent, (tu) pousse,(nous) poussons,(vous) poussez
mettre, mettant, mis, je mets,tu mets,il met,nous mettons,vous mettez,ils mettent, j'ai mis,tu as mis,il a mis,nous avons mis,vous avez mis,ils ont mis, je mettais,tu mettais,il mettait,nous mettions,vous mettiez,ils mettaient, je mis,tu mis,il mit,nous mîmes,vous mîtes,ils mirent, je mettrai,tu mettras,il mettra,nous mettrons,vous mettrez,ils mettront, je mettrais,tu mettrais,il mettrait,nous mettrions,vous mettriez,ils mettraient, que je mette,que tu mettes,qu'il mette,que nous mettions,que vous mettiez,qu'ils mettent, que je misse,que tu misses,qu'il mît,que nous missions,que vous missiez,qu'ils missent, (tu) mets,(nous) mettons,(vous) mettez
lire, lisant, lu, je lis,tu lis,il lit,nous lisons,vous lisez,ils lisent, j'ai lu,tu as lu,il a lu,nous avons lu,vous avez lu,ils ont lu, je lisais,tu lisais,il lisait,nous lisions,vous lisiez,ils lisaient, je lus,tu lus,il lut,nous lûmes,vous lûtes,ils lurent, je lirai,tu liras,il lira,nous lirons,vous lirez,ils liront, je lirais,tu lirais,il lirait,nous lirions,vous liriez,ils liraient, que je lise,que tu lises,qu'il lise,que nous lisions,que vous lisiez,qu'ils lisent, que je lusse,que tu lusses,qu'il lût,que nous lussions,que vous lussiez,qu'ils lussent, (tu) lis,(nous) lisons,(vous) lisez
briller, brillant, brillé, je brille,tu brilles,il brille,nous brillons,vous brillez,ils brillent, j'ai brillé,tu as brillé,il a brillé,nous avons brillé,vous avez brillé,ils ont brillé, je brillais,tu brillais,il brillait,nous brillions,vous brilliez,ils brillaient, je brillai,tu brillas,il brilla,nous brillâmes,vous brillâtes,ils brillèrent, je brillerai,tu brilleras,il brillera,nous brillerons,vous brillerez,ils brilleront, je brillerais,tu brillerais,il brillerait,nous brillerions,vous brilleriez,ils brilleraient, que je brille,que tu brilles,qu'il brille,que nous brillions,que vous brilliez,qu'ils brillent, que je brillasse,que tu brillasses,qu'il brillât,que nous brillassions,que vous brillassiez,qu'ils brillassent, (tu) brille,(nous) brillons,(vous) brillez
écrire, écrivant, écrit, j'écris,tu écris,il écrit,nous écrivons,vous écrivez,ils écrivent, j'ai écrit,tu as écrit,il a écrit,nous avons écrit,vous avez écrit,ils ont écrit, j'écrivais,tu écrivais,il écrivait,nous écrivions,vous écriviez,ils écrivaient, j'écrivis,tu écrivis,il écrivit,nous écrivîmes,vous écrivîtes,ils écrivirent, j'écrirai,tu écriras,il écrira,nous écrirons,vous écrirez,ils écriront, j'écrirais,tu écrirais,il écrirait,nous écririons,vous écririez,ils écriraient, que j'écrive,que tu écrives,qu'il écrive,que nous écrivions,que vous écriviez,qu'ils écrivent, que j'écrivisse,que tu écrivisses,qu'il écrivît,que nous écrivissions,que vous écrivissiez,qu'ils écrivissent, (tu) écris,(nous) écrivons,(vous) écrivez
relaxer, relaxant, relaxé, je relaxe,tu relaxes,il relaxe,nous relaxons,vous relaxez,ils relaxent, j'ai relaxé,tu as relaxé,il a relaxé,nous avons relaxé,vous avez relaxé,ils ont relaxé, je relaxais,tu relaxais,il relaxait,nous relaxions,vous relaxiez,ils relaxaient, je relaxai,tu relaxas,il relaxa,nous relaxâmes,vous relaxâtes,ils relaxèrent, je relaxerai,tu relaxeras,il relaxera,nous relaxerons,vous relaxerez,ils relaxeront, je relaxerais,tu relaxerais,il relaxerait,nous relaxerions,vous relaxeriez,ils relaxeraient, que je relaxe,que tu relaxes,qu'il relaxe,que nous relaxions,que vous relaxiez,qu'ils relaxent, que je relaxasse,que tu relaxasses,qu'il relaxât,que nous relaxassions,que vous relaxassiez,qu'ils relaxassent, (tu) relaxe,(nous) relaxons,(vous) relaxez
courir, courant, couru, je cours,tu cours,il court,nous courons,vous courez,ils courent, j'ai couru,tu as couru,il a couru,nous avons couru,vous avez couru,ils ont couru, je courais,tu courais,il courait,nous courions,vous couriez,ils couraient, je courus,tu courus,il courut,nous courûmes,vous courûtes,ils coururent, je courrai,tu courras,il courra,nous courrons,vous courrez,ils courront, je courrais,tu courrais,il courrait,nous courrions,vous courriez,ils courraient, que je coure,que tu coures,qu'il coure,que nous courions,que vous couriez,qu'ils courent, que je courusse,que tu courusses,qu'il courût,que nous courussions,que vous courussiez,qu'ils courussent, (tu) cours,(nous) courons,(vous) courez
regarder, regardant, regardé, je regarde,tu regardes,il regarde,nous regardons,vous regardez,ils regardent, j'ai regardé,tu as regardé,il a regardé,nous avons regardé,vous avez regardé,ils ont regardé, je regardais,tu regardais,il regardait,nous regardions,vous regardiez,ils regardaient, je regardai,tu regardas,il regarda,nous regardâmes,vous regardâtes,ils regardèrent, je regarderai,tu regarderas,il regardera,nous regarderons,vous regarderez,ils regarderont, je regarderais,tu regarderais,il regarderait,nous regarderions,vous regarderiez,ils regarderaient, que je regarde,que tu regardes,qu'il regarde,que nous regardions,que vous regardiez,qu'ils regardent, que je regardasse,que tu regardasses,qu'il regardât,que nous regardassions,que vous regardassiez,qu'ils regardassent, (tu) regarde,(nous) regardons,(vous) regardez
serrer, serrant, serré, je serre,tu serres,il serre,nous serrons,vous serrez,ils serrent, j'ai serré,tu as serré,il a serré,nous avons serré,vous avez serré,ils ont serré, je serrais,tu serrais,il serrait,nous serrions,vous serriez,ils serraient, je serrai,tu serras,il serra,nous serrâmes,vous serrâtes,ils serrèrent, je serrerai,tu serreras,il serrera,nous serrerons,vous serrerez,ils serreront, je serrerais,tu serrerais,il serrerait,nous serrerions,vous serreriez,ils serreraient, que je serre,que tu serres,qu'il serre,que nous serrions,que vous serriez,qu'ils serrent, que je serrasse,que tu serrasses,qu'il serrât,que nous serrassions,que vous serrassiez,qu'ils serrassent, (tu) serre,(nous) serrons,(vous) serrez
partager, partageant, partagé, je partage,tu partages,il partage,nous partageons,vous partagez,ils partagent, j'ai partagé,tu as partagé,il a partagé,nous avons partagé,vous avez partagé,ils ont partagé, je partageais,tu partageais,il partageait,nous partagions,vous partagiez,ils partageaient, je partageai,tu partageas,il partagea,nous partageâmes,vous partageâtes,ils partagèrent, je partagerai,tu partageras,il partagera,nous partagerons,vous partagerez,ils partageront, je partagerais,tu partagerais,il partagerait,nous partagerions,vous partageriez,ils partageraient, que je partage,que tu partages,qu'il partage,que nous partagions,que vous partagiez,qu'ils partagent, que je partageasse,que tu partageasses,qu'il partageât,que nous partageassions,que vous partageassiez,qu'ils partageassent, (tu) partage,(nous) partageons,(vous) partagez
montrer, montrant, montré, je montre,tu montres,il montre,nous montrons,vous montrez,ils montrent, j'ai montré,tu as montré,il a montré,nous avons montré,vous avez montré,ils ont montré, je montrais,tu montrais,il montrait,nous montrions,vous montriez,ils montraient, je montrai,tu montras,il montra,nous montrâmes,vous montrâtes,ils montrèrent, je montrerai,tu montreras,il montrera,nous montrerons,vous montrerez,ils montreront, je montrerais,tu montrerais,il montrerait,nous montrerions,vous montreriez,ils montreraient, que je montre,que tu montres,qu'il montre,que nous montrions,que vous montriez,qu'ils montrent, que je montrasse,que tu montrasses,qu'il montrât,que nous montrassions,que vous montrassiez,qu'ils montrassent, (tu) montre,(nous) montrons,(vous) montrez
chanter, chantant, chanté, je chante,tu chantes,il chante,nous chantons,vous chantez,ils chantent, j'ai chanté,tu as chanté,il a chanté,nous avons chanté,vous avez chanté,ils ont chanté, je chantais,tu chantais,il chantait,nous chantions,vous chantiez,ils chantaient, je chantai,tu chantas,il chanta,nous chantâmes,vous chantâtes,ils chantèrent, je chanterai,tu chanteras,il chantera,nous chanterons,vous chanterez,ils chanteront, je chanterais,tu chanterais,il chanterait,nous chanterions,vous chanteriez,ils chanteraient, que je chante,que tu chantes,qu'il chante,que nous chantions,que vous chantiez,qu'ils chantent, que je chantasse,que tu chantasses,qu'il chantât,que nous chantassions,que vous chantassiez,qu'ils chantassent, (tu) chante,(nous) chantons,(vous) chantez
s'asseoir, asseyant, assis, je m'assieds,tu t'assieds,il s'assied,nous nous asseyons,vous vous asseyez,ils s'asseyent, je me suis assis,tu t'es assis,il s'est assis,nous nous sommes assis,vous vous êtes assis,ils se sont assis, je m'asseyais,tu t'asseyais,il s'asseyait,nous nous asseyions,vous vous asseyiez,ils s'asseyaient, je m'assis,tu t'assis,il s'assit,nous nous assîmes,vous vous assîtes,ils s'assirent, je m'assiérai,tu t'assiéras,il s'assiéra,nous nous assiérons,vous vous assiérez,ils s'assiéront, je m'assiérais,tu t'assiérais,il s'assiérait,nous nous assiérions,vous vous assiériez,ils s'assiéraient, que je m'asseye,que tu t'asseyes,qu'il s'asseye,que nous nous asseyions,que vous vous asseyiez,qu'ils s'asseyent, que je m'assisse,que tu t'assisses,qu'il s'assît,que nous nous assissions,que vous vous assissiez,qu'ils s'assissent, (tu) assieds,(nous) asseyons,(vous) asseyez
dormir, dormant, dormi, je dors,tu dors,il dort,nous dormons,vous dormez,ils dorment, j'ai dormi,tu as dormi,il a dormi,nous avons dormi,vous avez dormi,ils ont dormi, je dormais,tu dormais,il dormait,nous dormions,vous dormiez,ils dormaient, je dormis,tu dormis,il dormit,nous dormîmes,vous dormîtes,ils dormirent, je dormirai,tu dormiras,il dormira,nous dormirons,vous dormirez,ils dormiront, je dormirais,tu dormirais,il dormirait,nous dormirions,vous dormiriez,ils dormiraient, que je dorme,que tu dormes,qu'il dorme,que nous dormions,que vous dormiez,qu'ils dorment, que je dormisse,que tu dormisses,qu'il dormît,que nous dormissions,que vous dormissiez,qu'ils dormissent, (tu) dors,(nous) dormons,(vous) dormez
sourire, souriant, souri, je souris,tu souris,il sourit,nous sourions,vous souriez,ils sourient, j'ai souri,tu as souri,il a souri,nous avons souri,vous avez souri,ils ont souri, je souriais,tu souriais,il souriait,nous souriions,vous souriiez,ils souriaient, je souris,tu souris,il sourit,nous sourîmes,vous sourîtes,ils sourirent, je sourirai,tu souriras,il sourira,nous sourirons,vous sourirez,ils souriront, je sourirais,tu sourirais,il sourirait,nous souririons,vous souririez,ils souriraient, que je sourie,que tu souries,qu'il sourie,que nous souriions,que vous souriiez,qu'ils sourient, que je sourisse,que tu sourisses,qu'il sourît,que nous sourissions,que vous sourissiez,qu'ils sourissent, (tu) souris,(nous) sourions,(vous) souriez
semer, semant, semé, je sème,tu sèmes,il sème,nous semons,vous semez,ils sèment, j'ai semé,tu as semé,il a semé,nous avons semé,vous avez semé,ils ont semé, je semais,tu semais,il semait,nous semions,vous semiez,ils semaient, je semai,tu semas,il sema,nous semâmes,vous semâtes,ils semèrent, je sèmerai,tu sèmeras,il sèmera,nous sèmerons,vous sèmerez,ils sèmeront, je sèmerais,tu sèmerais,il sèmerait,nous sèmerions,vous sèmeriez,ils sèmeraient, que je sème,que tu sèmes,qu'il sème,que nous semions,que vous semiez,qu'ils sèment, que je semasse,que tu semasses,qu'il semât,que nous semassions,que vous semassiez,qu'ils semassent, (tu) sème,(nous) semons,(vous) semez
loucher, louchant, louché, je louche,tu louches,il louche,nous louchons,vous louchez,ils louchent, j'ai louché,tu as louché,il a louché,nous avons louché,vous avez louché,ils ont louché, je louchais,tu louchais,il louchait,nous louchions,vous louchiez,ils louchaient, je louchai,tu louchas,il loucha,nous louchâmes,vous louchâtes,ils louchèrent, je loucherai,tu loucheras,il louchera,nous loucherons,vous loucherez,ils loucheront, je loucherais,tu loucherais,il loucherait,nous loucherions,vous loucheriez,ils loucheraient, que je louche,que tu louches,qu'il louche,que nous louchions,que vous louchiez,qu'ils louchent, que je louchasse,que tu louchasses,qu'il louchât,que nous louchassions,que vous louchassiez,qu'ils louchassent, (tu) louche,(nous) louchons,(vous) louchez
tenir, tenant, tenu, je tiens,tu tiens,il tient,nous tenons,vous tenez,ils tiennent, j'ai tenu,tu as tenu,il a tenu,nous avons tenu,vous avez tenu,ils ont tenu, je tenais,tu tenais,il tenait,nous tenions,vous teniez,ils tenaient, je tins,tu tins,il tint,nous tînmes,vous tîntes,ils tinrent, je tiendrai,tu tiendras,il tiendra,nous tiendrons,vous tiendrez,ils tiendront, je tiendrais,tu tiendrais,il tiendrait,nous tiendrions,vous tiendriez,ils tiendraient, que je tienne,que tu tiennes,qu'il tienne,que nous tenions,que vous teniez,qu'ils tiennent, que je tinsse,que tu tinsses,qu'il tînt,que nous tinssions,que vous tinssiez,qu'ils tinssent, (tu) tiens,(nous) tenons,(vous) tenez
caresser, caressant, caressé, je caresse,tu caresses,il caresse,nous caressons,vous caressez,ils caressent, j'ai caressé,tu as caressé,il a caressé,nous avons caressé,vous avez caressé,ils ont caressé, je caressais,tu caressais,il caressait,nous caressions,vous caressiez,ils caressaient, je caressai,tu caressas,il caressa,nous caressâmes,vous caressâtes,ils caressèrent, je caresserai,tu caresseras,il caressera,nous caresserons,vous caresserez,ils caresseront, je caresserais,tu caresserais,il caresserait,nous caresserions,vous caresseriez,ils caresseraient, que je caresse,que tu caresses,qu'il caresse,que nous caressions,que vous caressiez,qu'ils caressent, que je caressasse,que tu caressasses,qu'il caressât,que nous caressassions,que vous caressassiez,qu'ils caressassent, (tu) caresse,(nous) caressons,(vous) caressez
Prendre, prenant, pris, je prends,tu prends,il prend,nous prenons,vous prenez,ils prennent, j'ai pris,tu as pris,il a pris,nous avons pris,vous avez pris,ils ont pris, je prenais,tu prenais,il prenait,nous prenions,vous preniez,ils prenaient, je pris,tu pris,il prit,nous prîmes,vous prîtes,ils prirent, je prendrai,tu prendras,il prendra,nous prendrons,vous prendrez,ils prendront, je prendrais,tu prendrais,il prendrait,nous prendrions,vous prendriez,ils prendraient, que je prenne,que tu prennes,qu'il prenne,que nous prenions,que vous preniez,qu'ils prennent, que je prisse,que tu prisses,qu'il prît,que nous prissions,que vous prissiez,qu'ils prissent, (tu) prends,(nous) prenons,(vous) prenez
bronzer, bronzant, bronzé, je bronze,tu bronzes,il bronze,nous bronzons,vous bronzez,ils bronzent, j'ai bronzé,tu as bronzé,il a bronzé,nous avons bronzé,vous avez bronzé,ils ont bronzé, je bronzais,tu bronzais,il bronzait,nous bronzions,vous bronziez,ils bronzaient, je bronzai,tu bronzas,il bronza,nous bronzâmes,vous bronzâtes,ils bronzèrent, je bronzerai,tu bronzeras,il bronzera,nous bronzerons,vous bronzerez,ils bronzeront, je bronzerais,tu bronzerais,il bronzerait,nous bronzerions,vous bronzeriez,ils bronzeraient, que je bronze,que tu bronzes,qu'il bronze,que nous bronzions,que vous bronziez,qu'ils bronzent, que je bronzasse,que tu bronzasses,qu'il bronzât,que nous bronzassions,que vous bronzassiez,qu'ils bronzassent, (tu) bronze,(nous) bronzons,(vous) bronzez
parler, parlant, parlé, je parle,tu parles,il parle,nous parlons,vous parlez,ils parlent, j'ai parlé,tu as parlé,il a parlé,nous avons parlé,vous avez parlé,ils ont parlé, je parlais,tu parlais,il parlait,nous parlions,vous parliez,ils parlaient, je parlai,tu parlas,il parla,nous parlâmes,vous parlâtes,ils parlèrent, je parlerai,tu parleras,il parlera,nous parlerons,vous parlerez,ils parleront, je parlerais,tu parlerais,il parlerait,nous parlerions,vous parleriez,ils parleraient, que je parle,que tu parles,qu'il parle,que nous parlions,que vous parliez,qu'ils parlent, que je parlasse,que tu parlasses,qu'il parlât,que nous parlassions,que vous parlassiez,qu'ils parlassent, (tu) parle,(nous) parlons,(vous) parlez
penser, pensant, pensé, je pense,tu penses,il pense,nous pensons,vous pensez,ils pensent, j'ai pensé,tu as pensé,il a pensé,nous avons pensé,vous avez pensé,ils ont pensé, je pensais,tu pensais,il pensait,nous pensions,vous pensiez,ils pensaient, je pensai,tu pensas,il pensa,nous pensâmes,vous pensâtes,ils pensèrent, je penserai,tu penseras,il pensera,nous penserons,vous penserez,ils penseront, je penserais,tu penserais,il penserait,nous penserions,vous penseriez,ils penseraient, que je pense,que tu penses,qu'il pense,que nous pensions,que vous pensiez,qu'ils pensent, que je pensasse,que tu pensasses,qu'il pensât,que nous pensassions,que vous pensassiez,qu'ils pensassent, (tu) pense,(nous) pensons,(vous) pensez
jeter, jetant, jeté, je jette,tu jettes,il jette,nous jetons,vous jetez,ils jettent, j'ai jeté,tu as jeté,il a jeté,nous avons jeté,vous avez jeté,ils ont jeté, je jetais,tu jetais,il jetait,nous jetions,vous jetiez,ils jetaient, je jetai,tu jetas,il jeta,nous jetâmes,vous jetâtes,ils jetèrent, je jetterai,tu jetteras,il jettera,nous jetterons,vous jetterez,ils jetteront, je jetterais,tu jetterais,il jetterait,nous jetterions,vous jetteriez,ils jetteraient, que je jette,que tu jettes,qu'il jette,que nous jetions,que vous jetiez,qu'ils jettent, que je jetasse,que tu jetasses,qu'il jetât,que nous jetassions,que vous jetassiez,qu'ils jetassent, (tu) jette,(nous) jetons,(vous) jetez
attacher, attachant, attaché, j'attache,tu attaches,il attache,nous attachons,vous attachez,ils attachent, j'ai attaché,tu as attaché,il a attaché,nous avons attaché,vous avez attaché,ils ont attaché, j'attachais,tu attachais,il attachait,nous attachions,vous attachiez,ils attachaient, j'attachai,tu attachas,il attacha,nous attachâmes,vous attachâtes,ils attachèrent, j'attacherai,tu attacheras,il attachera,nous attacherons,vous attacherez,ils attacheront, j'attacherais,tu attacherais,il attacherait,nous attacherions,vous attacheriez,ils attacheraient, que j'attache,que tu attaches,qu'il attache,que nous attachions,que vous attachiez,qu'ils attachent, que j'attachasse,que tu attachasses,qu'il attachât,que nous attachassions,que vous attachassiez,qu'ils attachassent, (tu) attache,(nous) attachons,(vous) attachez
